98,1,1,0,1,0,0,0 
96,1,2,0,1,1,0,0
95,2,2,0,2,0,0,0
92,1,4,0,1,3,0,0
95,2,2,0,2,0,0,0
91,2,4,0,2,2,0,0
89,4,4,0,4,0,0,0
84,1,8,0,1,7,0,0
95,2,2,0,2,0,0,0
91,2,4,0,2,2,0,0
89,4,4,0,4,0,0,0
83,2,8,0,2,6,0,0
89,4,4,0,4,0,0,0
81,4,8,0,4,4,0,0
77,8,8,0,8,0,0,0
68,1,16,0,1,15,0,0
95,2,2,0,2,0,0,0
91,2,4,0,2,2,0,0
89,4,4,0,4,0,0,0
83,2,8,0,2,6,0,0
89,4,4,0,4,0,0,0
81,4,8,0,4,4,0,0
77,8,8,0,8,0,0,0
67,2,16,0,2,14,0,0
89,4,4,0,4,0,0,0
81,4,8,0,4,4,0,0
77,8,8,0,8,0,0,0
65,4,16,0,4,12,0,0
77,8,8,0,8,0,0,0
61,8,16,0,8,8,0,0
53,16,16,0,16,0,0,0
36,1,32,0,1,31,0,0
95,2,2,0,2,0,0,0
91,2,4,0,2,2,0,0
89,4,4,0,4,0,0,0
83,2,8,0,2,6,0,0
89,4,4,0,4,0,0,0
81,4,8,0,4,4,0,0
77,8,8,0,8,0,0,0
67,2,16,0,2,14,0,0
89,4,4,0,4,0,0,0
81,4,8,0,4,4,0,0
77,8,8,0,8,0,0,0
65,4,16,0,4,12,0,0
77,8,8,0,8,0,0,0
61,8,16,0,8,8,0,0
53,16,16,0,16,0,0,0
35,2,32,0,2,30,0,0
89,4,4,0,4,0,0,0
81,4,8,0,4,4,0,0
79,7,6,1,7,0,1,0
69,3,12,1,3,10,1,2
77,8,8,0,8,0,0,0
63,7,14,1,7,8,1,0
59,13,10,3,13,0,3,0
45,3,20,1,3,18,1,10
77,8,8,0,8,0,0,0
61,8,16,0,8,8,0,0
57,14,12,2,14,0,2,0
37,6,24,2,6,20,2,4
53,16,16,0,16,0,0,0
27,13,26,3,13,16,3,0
19,25,18,7,25,0,7,0
0,0,36,1,0,37,1,26
95,2,2,0,2,0,0,0
91,2,4,0,2,2,0,0
89,4,4,0,4,0,0,0
83,2,8,0,2,6,0,0
89,4,4,0,4,0,0,0
81,4,8,0,4,4,0,0
77,8,8,0,8,0,0,0
67,2,16,0,2,14,0,0
89,4,4,0,4,0,0,0
81,4,8,0,4,4,0,0
77,8,8,0,8,0,0,0
65,4,16,0,4,12,0,0
77,8,8,0,8,0,0,0
63,7,14,1,7,8,1,0
55,15,14,1,15,0,1,0
41,1,26,1,1,26,1,4
89,4,4,0,4,0,0,0
81,4,8,0,4,4,0,0
79,7,6,1,7,0,1,0
69,3,12,1,3,10,1,2
77,8,8,0,8,0,0,0
63,7,14,1,7,8,1,0
59,13,10,3,13,0,3,0
45,3,20,1,3,18,1,10
77,8,8,0,8,0,0,0
61,8,16,0,8,8,0,0
57,14,12,2,14,0,2,0
37,6,24,2,6,20,2,4
53,16,16,0,16,0,0,0
31,11,22,5,11,16,5,0
23,23,14,9,23,0,9,0
9,1,26,1,1,26,1,36
89,4,4,0,4,0,0,0
81,4,8,0,4,4,0,0
77,8,8,0,8,0,0,0
65,4,16,0,4,12,0,0
